Date,dew,humidity,pm1,pm10,pm25,precipitation,pressure,temperature,wind-speed
2021-04-23,13.2,62.6,44.0,18.0,47.0,,920.1,21.2,0.8
2021-04-24,12.3,39.4,54.0,26.0,64.0,,917.2,24.9,0.8
2021-04-25,11.6,34.9,73.0,37.0,85.0,,917.6,24.9,0.8
2021-04-26,10.9,39.4,104.0,56.0,116.0,,918.2,24.5,0.9
2021-04-27,13.7,46.8,149.0,71.0,154.0,,918.3,25.0,0.6
2021-04-28,13.9,43.7,145.0,69.0,153.0,,919.8,24.4,0.6
2021-04-29,17.3,54.2,92.0,62.0,116.0,,918.6,23.2,0.6
2021-04-30,16.5,60.2,57.0,15.0,57.0,,920.1,23.6,0.6
2021-05-01,16.6,69.4,68.0,21.0,70.0,,918.7,20.5,0.8
2021-05-02,18.4,74.8,52.0,13.0,53.0,,919.1,22.2,0.7
2021-05-03,18.1,87.7,54.0,14.0,55.0,,918.0,20.1,0.6
2021-05-04,18.1,93.3,50.0,12.0,51.0,,917.3,19.2,0.6
2021-05-05,18.7,85.5,42.0,10.0,43.0,,919.0,21.4,0.5
2021-05-06,17.7,79.9,29.0,8.0,33.0,,920.4,21.3,0.8
2021-05-07,19.9,85.8,40.0,10.0,42.0,,920.4,21.1,0.5
2021-05-08,17.3,94.5,36.0,12.0,41.0,,920.2,18.3,0.7
2021-05-09,16.9,77.5,29.0,7.0,29.0,,919.0,21.6,0.6
2021-05-10,18.0,87.6,36.0,9.0,38.0,,917.1,19.4,0.8
2021-05-11,17.0,86.3,32.0,10.0,36.0,,916.9,18.7,0.8
2021-05-12,18.1,83.5,35.0,12.0,40.0,,915.5,21.3,0.6
2021-05-13,17.5,79.6,13.0,4.0,15.0,,916.5,21.4,0.7
2021-05-14,17.6,71.9,22.0,7.0,28.0,,914.7,23.1,0.6
2021-05-15,18.9,76.3,34.0,7.0,30.0,,915.7,24.3,0.6
2021-05-16,19.7,84.8,39.0,13.0,45.0,,917.6,22.8,0.8
2021-05-17,20.5,75.7,47.0,11.0,48.0,,918.2,25.1,0.6
2021-05-18,20.9,82.9,42.0,10.0,43.0,,917.8,23.4,0.5
2021-05-19,20.2,81.9,34.0,8.0,34.0,,916.3,22.6,0.6
2021-05-20,20.7,96.2,24.0,6.0,25.0,,916.1,21.4,0.5
2021-05-21,19.2,81.2,16.0,5.0,19.0,,916.0,24.2,0.7
2021-05-22,21.5,68.5,22.0,6.0,23.0,,913.0,26.8,0.7
2021-05-23,20.7,64.2,26.0,7.0,29.0,,915.4,27.8,0.7
2021-05-24,20.0,62.0,32.0,10.0,36.0,,912.4,28.5,0.8
2021-05-25,20.9,84.0,30.0,8.0,32.0,,912.9,24.2,0.8
2021-05-26,20.5,90.2,15.0,5.0,18.0,,912.0,22.6,0.7
2021-05-27,21.3,100.0,10.0,3.0,14.0,,912.8,21.4,0.6
2021-05-28,21.0,100.0,21.0,3.0,14.0,,914.4,21.0,0.5
2021-05-29,20.0,100.0,28.0,7.0,27.0,,917.6,20.2,0.6
2021-05-30,19.3,83.7,35.0,8.0,36.0,,913.3,24.9,0.6
2021-05-31,21.5,86.0,33.0,9.0,35.0,,910.9,24.3,0.7
2021-06-01,21.6,88.0,22.0,6.0,24.0,,914.9,22.2,0.6
2021-06-02,21.4,68.7,19.0,6.0,22.0,,914.1,25.7,0.7
2021-06-03,21.4,63.8,20.0,5.0,21.0,,916.6,27.2,1.1
2021-06-04,20.0,69.0,22.0,8.0,27.0,,917.2,24.3,0.6
2021-06-05,20.1,85.0,25.0,9.0,27.0,,915.9,22.0,0.5
2021-06-06,21.4,97.1,26.0,8.0,30.0,,915.1,21.9,0.6
2021-06-07,22.8,98.2,30.0,12.0,42.0,2.2,913.1,22.5,0.7
2021-06-08,22.9,78.5,24.0,8.0,29.0,,912.4,24.8,0.9
2021-06-09,22.3,84.4,33.0,10.0,36.0,,913.1,26.0,0.6
2021-06-10,22.4,90.2,31.0,8.0,33.0,,912.3,24.6,0.6
2021-06-11,22.7,87.3,25.0,6.0,26.0,,910.2,24.4,0.6
2021-06-12,21.7,89.6,16.0,4.0,18.0,,911.0,24.1,0.6
2021-06-13,21.7,98.6,11.0,3.0,12.0,,911.6,23.2,0.5
2021-06-14,22.4,98.6,7.0,2.0,7.0,,908.1,23.0,0.5
2021-06-15,20.6,100.0,7.0,2.0,7.0,,908.5,20.6,0.5
2021-06-16,22.2,100.0,11.0,3.0,11.0,,911.2,21.9,0.4
2021-06-17,22.6,97.6,10.0,3.0,10.0,,911.4,23.7,0.5
2021-06-18,22.2,85.5,10.0,3.0,10.0,,910.8,24.9,0.5
2021-06-19,22.4,95.7,11.0,3.0,12.0,,912.2,23.8,0.5
2021-06-20,22.1,94.8,8.0,2.0,9.0,,911.7,23.3,0.5
2021-06-21,23.0,82.9,10.0,3.0,10.0,,912.3,26.8,0.8
2021-06-22,23.5,90.3,13.0,4.0,15.0,,912.6,25.6,0.6
2021-06-23,22.9,87.5,18.0,5.0,19.0,,914.8,25.6,0.7
2021-06-24,22.5,93.7,13.0,4.0,16.0,,914.1,25.3,0.5
2021-06-25,21.4,100.0,7.0,2.0,8.0,,912.9,22.2,0.5
2021-06-26,21.9,91.7,9.0,2.0,9.0,,914.0,24.3,0.5
2021-06-27,22.4,79.3,9.0,3.0,10.0,,916.8,26.6,0.7
2021-06-28,22.7,99.3,10.0,3.0,10.0,,914.1,23.7,0.6
2021-06-29,22.7,100.0,7.0,2.0,7.0,,912.2,23.1,0.4
2021-06-30,23.1,100.0,11.0,3.0,11.0,,909.2,24.2,0.6
2021-07-01,22.9,100.0,10.0,3.0,10.0,,909.5,23.4,0.5
2021-07-02,22.4,100.0,72.0,23.0,74.0,,910.7,23.2,0.7
2021-07-03,22.8,88.7,74.0,25.0,78.0,,911.8,26.9,0.8
2021-07-04,22.2,97.2,76.0,23.0,78.0,,914.7,25.2,1.0
2021-07-05,23.7,99.4,58.0,6.0,24.0,,914.7,24.1,1.0
2021-07-06,23.4,76.8,12.0,3.0,12.0,,913.4,29.0,2.0
2021-07-07,23.3,83.6,39.0,13.0,49.0,,911.4,26.4,1.5
2021-07-08,22.7,97.0,38.0,12.0,47.0,,912.8,23.4,1.5
2021-07-09,23.1,85.1,25.0,10.0,34.0,,913.7,25.8,1.0
2021-07-10,23.7,83.6,31.0,9.0,35.0,,914.0,26.8,1.5
2021-07-11,22.5,97.0,22.0,7.0,25.0,,917.3,23.0,1.0
2021-07-12,22.4,83.5,18.0,7.0,25.0,,918.2,25.4,1.5
2021-07-13,22.5,68.7,17.0,5.0,20.0,,916.3,28.0,2.0
2021-07-14,24.1,73.2,24.0,7.0,28.0,,913.9,25.8,2.5
2021-07-15,22.6,95.3,26.0,7.0,28.0,,916.3,22.7,1.5
2021-07-16,23.5,86.6,,,,,916.3,26.0,3.0
2021-07-17,23.2,90.8,,,,,914.3,24.8,2.5
2021-07-18,23.2,90.8,,,,,913.3,24.8,1.0
2021-07-19,23.2,72.6,,,,,910.6,23.8,0.5
2021-07-20,23.0,75.6,36.0,10.0,41.0,,911.4,27.7,1.5
2021-07-21,23.9,74.0,31.0,8.0,32.0,,910.9,29.0,2.5
2021-07-22,23.1,71.4,14.0,4.0,15.0,,910.8,28.8,2.5
2021-07-23,23.7,68.7,19.0,6.0,22.0,,910.7,30.4,2.0
2021-07-24,24.4,71.2,23.0,7.0,26.0,,911.0,30.4,1.5
2021-07-25,24.1,84.2,16.0,5.0,18.0,,911.8,27.0,1.0
2021-07-26,23.3,93.6,36.0,9.0,39.0,,911.1,24.4,1.0
2021-07-27,23.4,80.3,24.0,8.0,28.0,,907.9,27.8,1.0
2021-07-28,22.8,72.7,12.0,4.0,15.0,,909.4,29.0,1.5
2021-07-29,23.1,84.2,13.0,4.0,14.0,,908.8,26.8,2.0
2021-07-30,22.9,75.7,11.0,4.0,13.0,,909.8,24.8,1.0
2021-07-31,22.9,81.6,11.0,4.0,13.0,,910.3,26.3,1.5
2021-08-01,23.6,69.9,15.0,5.0,18.0,,908.9,28.2,2.5
2021-08-02,23.5,75.4,26.0,7.0,28.0,,911.0,26.6,1.0
2021-08-03,,,27.0,7.0,28.0,,,,
2021-08-04,23.8,73.2,23.0,6.0,25.0,,912.7,29.2,2.0
2021-08-05,22.6,66.1,19.0,6.0,20.0,,912.5,29.6,2.0
2021-08-06,23.5,68.7,31.0,11.0,38.0,,911.9,30.6,4.0
2021-08-07,23.4,78.4,32.0,9.0,35.0,,913.3,27.6,3.0
2021-08-08,23.6,92.5,31.0,7.0,32.0,,914.7,25.6,2.0
2021-08-09,23.5,70.6,24.0,8.0,30.0,,913.6,25.8,1.5
2021-08-10,23.6,73.2,32.0,9.0,35.0,,912.7,29.2,2.0
2021-08-11,23.9,80.4,37.0,9.0,38.0,,912.7,26.6,2.5
2021-08-12,23.9,87.7,28.0,8.0,30.0,,914.5,25.8,1.5
2021-08-13,23.7,82.7,27.0,7.0,28.0,,913.5,27.2,2.5
2021-08-14,24.3,84.7,24.0,6.0,24.0,,910.0,26.6,1.5
2021-08-15,23.2,87.6,14.0,5.0,17.0,,912.4,25.4,1.0
2021-08-16,23.9,80.7,25.0,8.0,29.0,,915.2,27.0,2.0
2021-08-17,23.2,82.6,25.0,9.0,32.0,,916.5,26.4,2.5
2021-08-18,23.7,75.3,23.0,7.0,26.0,,915.3,28.8,1.5
2021-08-19,22.8,79.8,18.0,5.0,19.0,,914.5,23.6,1.0
2021-08-20,22.7,74.0,24.0,7.0,26.0,,915.8,27.4,2.0
2021-08-21,23.6,77.5,27.0,7.0,29.0,,918.3,27.4,2.0
2021-08-22,23.5,79.0,26.0,7.0,28.0,,917.3,28.4,1.0
2021-08-23,23.1,98.2,26.0,6.0,26.0,,913.9,23.6,1.0
2021-08-24,23.1,97.0,25.0,7.0,27.0,,913.8,23.6,1.0
2021-08-25,24.0,84.7,20.0,7.0,26.0,,911.4,26.9,2.0
2021-08-26,23.8,93.6,21.0,6.0,24.0,,909.4,25.0,2.0
2021-08-27,22.0,97.6,29.0,8.0,34.0,,914.7,22.9,1.0
2021-08-28,22.1,78.9,38.0,11.0,43.0,,912.9,25.4,2.0
2021-08-29,22.0,97.6,19.0,5.0,20.0,,915.8,22.7,1.0
2021-08-30,21.5,89.2,16.0,4.0,18.0,,917.2,23.2,1.5
2021-08-31,22.9,85.2,18.0,6.0,21.0,,918.5,26.6,1.5
2021-09-01,22.8,79.7,21.0,6.0,24.0,,919.6,26.6,1.5
2021-09-02,23.1,93.0,24.0,7.0,27.0,13.0,917.0,23.3,4.0
2021-09-03,21.9,100.0,14.0,4.0,17.0,,915.5,21.9,1.0
2021-09-04,23.7,73.2,23.0,7.0,26.0,,914.4,29.3,1.5
2021-09-05,23.0,90.8,37.0,9.0,39.0,,914.6,24.6,1.5
2021-09-06,22.9,81.1,35.0,9.0,37.0,,917.0,26.4,1.5
2021-09-07,22.3,93.6,21.0,6.0,23.0,,919.5,23.4,1.5
2021-09-08,22.9,73.9,16.0,6.0,20.0,,916.2,28.8,3.0
2021-09-09,22.3,85.0,19.0,5.0,20.0,,916.8,23.6,3.0
2021-09-10,21.9,66.2,26.0,7.0,28.0,,915.9,26.0,2.0
2021-09-11,22.3,68.6,20.0,8.0,26.0,,917.3,30.0,2.0
2021-09-12,22.8,67.4,24.0,6.0,26.0,,914.2,30.0,2.0
2021-09-13,22.6,69.2,21.0,7.0,24.0,,913.5,28.8,2.5
2021-09-14,22.8,76.0,30.0,10.0,38.0,,915.7,27.6,1.5
2021-09-15,22.2,94.7,30.0,8.0,31.0,,917.5,23.0,1.0
2021-09-16,20.5,85.8,18.0,5.0,19.0,,915.3,22.8,1.0
2021-09-17,21.0,91.8,25.0,6.0,26.0,,915.4,22.4,1.0
2021-09-18,22.5,76.4,32.0,8.0,34.0,,916.0,27.0,1.0
2021-09-19,23.7,75.3,32.0,8.0,33.0,,918.4,28.0,2.0
2021-09-20,23.0,94.1,14.0,4.0,14.0,,918.0,24.0,1.5
2021-09-21,22.9,70.6,16.0,4.0,17.0,,915.0,26.7,1.5
2021-09-22,21.4,85.0,13.0,4.0,14.0,,917.0,25.0,1.5
2021-09-23,21.8,69.9,24.0,6.0,26.0,,916.7,27.8,2.0
2021-09-24,22.8,81.1,33.0,8.0,34.0,,917.2,25.8,2.0
2021-09-25,22.9,81.1,33.0,8.0,33.0,,917.8,26.4,1.0
2021-09-26,22.4,69.3,33.0,8.0,34.0,,917.6,29.2,1.0
2021-09-27,21.7,76.2,24.0,6.0,26.0,,918.3,25.8,2.5
2021-09-28,21.9,85.9,25.0,7.0,27.0,,921.6,23.8,1.0
2021-09-29,21.0,77.1,38.0,10.0,40.0,,919.8,22.4,1.0
2021-09-30,21.7,71.4,33.0,10.0,36.0,,920.0,23.2,2.0
2021-10-01,23.1,89.3,49.0,26.0,54.0,,919.5,25.8,1.0
2021-10-02,21.9,91.9,31.0,7.0,32.0,,917.3,22.2,1.5
2021-10-03,21.9,70.7,28.0,7.0,30.0,,916.8,27.7,5.0
2021-10-04,22.2,79.6,51.0,14.0,53.0,,916.7,26.0,1.5
2021-10-05,22.8,89.1,42.0,11.0,43.0,,918.3,25.9,1.5
2021-10-06,22.4,75.1,48.0,13.0,51.0,,916.3,26.1,1.5
2021-10-07,21.4,93.5,37.0,9.0,40.0,,917.6,22.0,1.5
2021-10-08,22.4,80.6,37.0,10.0,40.0,,915.6,26.0,1.5
2021-10-09,22.5,85.0,56.0,18.0,59.0,,916.1,26.3,2.5
2021-10-10,22.7,81.6,65.0,21.0,69.0,,917.3,26.4,1.5
2021-10-11,20.0,80.4,62.0,20.0,66.0,,917.6,21.0,1.0
2021-10-12,,,58.0,17.0,60.0,,,,
2021-10-13,,,55.0,15.0,56.0,,,,
2021-10-14,,,54.0,15.0,55.0,,,,
2021-10-15,,,46.0,11.0,48.0,,,,
2021-10-16,,,38.0,10.0,40.0,,,,
2021-10-17,21.3,78.9,32.0,8.0,34.0,,919.0,25.0,1.0
2021-10-18,20.7,97.6,16.0,4.0,16.0,,918.5,21.4,2.5
2021-10-19,20.6,91.8,21.0,6.0,23.0,,917.8,22.0,3.0
2021-10-20,20.6,89.6,12.0,3.0,12.0,,919.6,22.4,3.0
2021-10-21,20.3,87.5,17.0,4.0,18.0,,918.3,23.2,1.5
2021-10-22,19.9,91.8,52.0,13.0,53.0,,919.8,20.2,2.0
2021-10-23,20.2,93.5,91.0,29.0,92.0,,921.5,21.2,2.0
2021-10-24,19.2,80.6,77.0,25.0,80.0,,923.1,22.4,1.5
2021-10-25,17.8,72.0,65.0,20.0,68.0,,922.4,22.4,1.5
2021-10-26,17.8,79.7,60.0,17.0,62.0,,921.3,23.2,1.5
2021-10-27,17.4,82.1,63.0,18.0,65.0,,923.1,22.0,2.0
2021-10-28,16.5,77.6,61.0,17.0,62.0,,923.2,20.1,1.5
2021-10-29,16.9,72.8,64.0,19.0,65.0,,924.7,22.0,3.0
2021-10-30,16.9,76.6,66.0,21.0,69.0,,924.7,21.8,2.5
2021-10-31,17.9,79.0,79.0,26.0,82.0,,922.4,21.4,2.0
2021-11-01,16.6,76.9,86.0,29.0,88.0,,922.9,20.8,1.5
2021-11-02,16.7,77.9,80.0,26.0,82.0,,923.7,20.7,2.0
2021-11-03,16.6,74.1,79.0,26.0,81.0,,923.7,21.4,1.5
2021-11-04,15.8,77.3,72.0,23.0,74.0,,922.4,19.9,2.5
2021-11-05,15.7,79.7,73.0,22.0,75.0,,922.0,19.6,1.5
2021-11-06,16.5,81.3,71.0,23.0,72.0,,920.7,19.8,1.0
2021-11-07,15.3,63.9,72.0,23.0,73.0,,919.6,23.0,1.5
2021-11-08,15.9,72.7,63.0,18.0,65.0,,922.2,21.2,1.5
2021-11-09,14.6,76.8,60.0,17.0,62.0,,923.4,20.4,2.0
2021-11-10,14.2,67.6,65.0,19.0,67.0,,923.1,20.4,2.0
2021-11-11,13.0,74.7,58.0,16.0,59.0,,922.7,19.4,2.0
2021-11-12,15.7,59.5,67.0,20.0,69.0,,920.8,23.0,2.0
2021-11-13,14.7,79.2,67.0,20.0,69.0,,922.3,19.4,1.0
2021-11-14,13.9,64.6,83.0,28.0,86.0,,920.2,18.6,1.5
2021-11-15,13.2,68.2,68.0,20.0,69.0,,918.3,18.5,1.0
2021-11-16,13.2,72.8,75.0,23.0,76.0,,920.5,19.0,1.5
2021-11-17,13.7,73.2,69.0,20.0,70.0,,924.3,18.6,1.5
2021-11-18,14.1,88.0,91.0,30.0,93.0,,922.4,17.0,0.5
2021-11-19,13.4,84.6,84.0,27.0,85.0,,920.5,16.0,0.5
2021-11-20,15.8,80.2,125.0,45.0,131.0,,919.4,17.8,1.0
2021-11-21,15.7,80.2,80.0,28.0,82.0,,919.9,19.2,1.0
2021-11-22,16.2,86.5,81.0,25.0,83.0,,920.0,18.7,1.5
2021-11-23,15.8,84.3,197.0,101.0,198.0,,919.3,18.6,1.0
2021-11-24,14.6,85.9,153.0,67.0,155.0,,921.3,14.9,1.0
2021-11-25,15.1,95.0,168.0,96.0,183.0,,923.2,17.4,1.5
2021-11-26,14.2,86.9,188.0,95.0,189.0,,922.9,16.0,1.0
2021-11-27,13.4,77.0,119.0,53.0,127.0,,923.4,18.2,1.5
2021-11-28,14.3,71.5,144.0,66.0,148.0,,923.1,18.0,1.0
2021-11-29,14.3,68.9,95.0,50.0,101.0,,922.6,17.6,1.5
2021-11-30,13.7,76.9,181.0,81.0,182.0,,924.3,17.8,1.0
2021-12-01,14.6,77.6,177.0,77.0,178.0,,925.5,19.2,1.0
2021-12-02,12.6,80.5,181.0,83.0,182.0,,923.8,18.0,1.0
2021-12-03,15.2,91.4,183.0,83.0,183.0,,925.4,16.6,1.0
2021-12-04,13.5,91.9,183.0,84.0,184.0,,923.7,14.8,1.0
2021-12-05,14.0,76.8,152.0,60.0,153.0,,922.8,14.0,1.0
2021-12-06,15.7,90.4,178.0,77.0,178.0,,922.9,18.7,1.5
2021-12-07,11.7,80.6,137.0,49.0,138.0,,922.6,14.0,1.5
2021-12-08,14.2,65.1,149.0,51.0,151.0,,924.7,17.4,1.0
2021-12-09,13.9,67.6,172.0,78.0,174.0,,925.6,18.0,2.0
2021-12-10,13.7,83.6,70.0,34.0,72.0,,923.7,17.2,1.5
2021-12-11,12.2,74.8,162.0,74.0,163.0,,924.1,17.0,2.0
2021-12-12,9.8,67.2,182.0,82.0,182.0,,925.9,15.6,1.5
2021-12-13,10.8,79.8,179.0,81.0,180.0,,925.8,16.8,1.5
2021-12-14,11.2,74.2,127.0,46.0,130.0,,924.3,16.3,1.5
2021-12-15,10.5,85.6,180.0,79.0,180.0,,923.3,15.4,1.5
2021-12-16,10.1,82.8,191.0,90.0,192.0,,923.4,10.4,2.0
2021-12-17,11.8,87.3,184.0,87.0,185.0,,923.6,15.4,1.0
2021-12-18,10.7,77.0,187.0,87.0,188.0,,923.6,14.8,2.0
2021-12-19,8.8,69.1,185.0,85.0,186.0,,923.9,14.4,1.0
2021-12-20,8.7,73.0,191.0,91.0,192.0,,925.0,15.0,1.5
2021-12-21,8.2,54.3,188.0,88.0,189.0,,923.8,10.0,1.0
2021-12-22,6.8,76.4,191.0,92.0,192.0,,922.3,14.6,1.5
2021-12-23,9.4,74.0,186.0,86.0,187.0,,922.3,15.0,1.5
2021-12-24,9.1,72.9,184.0,86.0,185.0,,922.2,14.6,2.0
2021-12-25,9.9,63.0,182.0,83.0,183.0,,922.2,14.6,1.5
2021-12-26,10.3,82.1,185.0,84.0,185.0,,924.7,14.0,1.5
2021-12-27,7.8,95.4,189.0,89.0,190.0,,925.7,8.2,0.5
2021-12-28,9.0,97.3,194.0,95.0,195.0,,926.9,9.4,1.0
2021-12-29,9.8,100.0,,,,,926.0,10.2,1.0
2021-12-30,10.8,85.4,181.0,81.0,181.0,,928.0,13.6,1.0
2021-12-31,9.6,83.8,183.0,82.0,183.0,,927.9,12.4,1.0
2022-01-01,10.9,78.6,199.0,98.0,200.0,,927.9,14.6,1.5
2022-01-02,9.5,92.9,205.0,104.0,205.0,,926.7,10.6,1.5
